SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Single Family Residential,549 Kirkwood Dr,Dallas,75218,289900,3,1,Lake Highlands Estates,1152,8189,1954,1,252,,Active,NTREIS
MLS Listing,Condo/Co-op,6004 Hudson St #105,Dallas,75206,289900,1,1.5,Munger Place,1001,6578,2018,106,290,228,Active,NTREIS
MLS Listing,Single Family Residential,7215 Dalewood Ln,Dallas,75214,289900,3,1.5,Mockingbird Meadows,1188,8973,1954,9,244,,Active,NTREIS
MLS Listing,Single Family Residential,8915 Flicker Ln,Dallas,75238,289900,3,2,Lakeland Hills 02,1614,9670,1969,8,180,,Active,NTREIS
MLS Listing,Single Family Residential,416 E Liberty St,Pilot Point,76258,289950,3,2.5,Whites Add,1966,11021,2019,21,147,,Active,NTREIS
MLS Listing,Single Family Residential,9108 San Fernando Way,Dallas,75218,289950,4,2.5,Broadvu Annex Add,1717,9365,1941,5,169,,Active,NTREIS
MLS Listing,Single Family Residential,2422 Sunset Ave,Dallas,75211,289990,2,1,Kessler Plaza,1182,10019,1947,29,245,,Active,NTREIS
MLS Listing,Single Family Residential,2539 Hillsboro Ave,Dallas,75228,290000,4,2.5,Cloverdale 07,1438,7536,1957,1,202,,Active,NTREIS
MLS Listing,Single Family Residential,4004 Lawngate Dr,Dallas,75287,290000,3,2.5,REGENCY PARK NO 2,2335,2178,1985,19,124,,Active,NTREIS
MLS Listing,Single Family Residential,4309 Timberglen Rd,Dallas,75287,290000,3,2,Parkway Village Sec Two,1724,5227,1988,288,168,63,Active,NTREIS
MLS Listing,Single Family Residential,8540 Van Pelt Dr,Dallas,75228,290000,3,2,White Rock Village 02,1960,7623,1976,22,148,,Active,NTREIS
MLS Listing,Single Family Residential,8620 Westfield Dr,Dallas,75243,290000,3,2,Northwood Estates,1747,7928,1981,37,166,,Active,NTREIS
MLS Listing,Single Family Residential,653 Turtle Cove Blvd,Rockwall,75087,292000,4,2.5,Turtle Cove,2574,4487,1992,216,113,,Active,NTREIS
MLS Listing,Single Family Residential,301 Point Royal Dr,Rowlett,75087,292500,3,2.5,Point Royal,2937,14113,1985,24,100,,Active,NTREIS
MLS Listing,Single Family Residential,6306 Lancashire Dr S,Rowlett,75087,293000,4,3,Heritage On The Lake,2464,9453,1996,67,119,,Active,NTREIS
MLS Listing,Single Family Residential,18676 Park Grove Ln,Dallas,75287,294500,3,2,Highlands Pkwy,1415,7405,1986,20,208,,Active,NTREIS
MLS Listing,Single Family Residential,508 Brook Valley Ln,Dallas,75232,294500,5,2.5,Glen Oaks,2316,12110,1962,2,127,,Active,NTREIS
MLS Listing,Single Family Residential,13731 Spring Grove Ave,Dallas,75240,294900,3,2,Spring Valley Park 03,1809,10019,1965,80,163,,Active,NTREIS
MLS Listing,Single Family Residential,6818 Victoria Ave,Dallas,75209,294900,3,2,Webster & Wood,1200,5706,1940,71,246,,Active,NTREIS
MLS Listing,Single Family Residential,2626 Alden Ave,Dallas,75211,294999,3,2,Terry Heights,1423,8102,1958,20,207,,Active,NTREIS
MLS Listing,Single Family Residential,13660 Purple Sage Rd,Dallas,75240,295000,3,2,Spring Valley Park 03,1986,7971,1964,73,149,,Active,NTREIS
MLS Listing,Single Family Residential,18922 Whitewater Ln,Dallas,75287,295000,3,2,Northpointe,1997,5227,1983,4,148,,Active,NTREIS
MLS Listing,Single Family Residential,2017 S Tyler St,Dallas,75224,295000,3,2,Tyler,1324,9409,1952,25,223,,Active,NTREIS
MLS Listing,Single Family Residential,209 E 12th St,Dallas,75203,295000,3,2,Oak Cliff Original,1853,11326,1945,75,159,,Active,NTREIS
MLS Listing,Vacant Land,2800 Maple Springs Blvd,Dallas,75235,295000,0,,Oak Lawn Heights,,24437,,19,,,Active,NTREIS
MLS Listing,Single Family Residential,3540 Burlingdell Ave,Dallas,75211,295000,3,2,Richmond Hill,1435,9017,1963,36,206,,Active,NTREIS
MLS Listing,Single Family Residential,417 Easton Rd,Dallas,75218,295000,3,1,Lake Highlands Estates,1117,8233,1954,12,264,,Active,NTREIS
MLS Listing,Single Family Residential,4263 S Cresthaven Rd,Dallas,75209,295000,2,1,Airway Heights,1076,7100,1942,5,274,,Active,NTREIS
